note_number,measure_number,beat_pos,midi_pitch,duration,time_signature,onsets
1,1,1.0,55.0,1.5,3.0,0.0
2,1,2.5,57.0,0.5,3.0,1.5
3,1,3.0,59.0,1.0,3.0,2.0
4,2,1.0,60.0,1.0,3.0,3.0
5,2,2.0,62.0,1.5,3.0,4.0
6,2,3.5,60.0,0.5,3.0,5.5
7,3,1.0,60.0,2.0,3.0,6.0
8,3,3.0,60.0,1.0,3.0,8.0
9,4,1.0,59.0,1.0,3.0,9.0
10,4,2.0,57.0,2.0,3.0,10.0
11,5,1.0,55.0,2.0,3.0,12.0
12,5,3.0,57.0,1.0,3.0,14.0
13,6,1.0,55.0,0.5,3.0,15.0
14,6,1.5,53.0,0.5,3.0,15.5
15,6,2.0,55.0,0.5,3.0,16.0
16,6,2.5,52.0,0.5,3.0,16.5
17,6,3.0,50.0,1.0,3.0,17.0
18,7,1.0,48.0,3.0,3.0,18.0
19,8,2.0,55.0,1.0,3.0,22.0
20,8,3.0,52.0,1.0,3.0,23.0
21,9,1.0,53.0,0.5,3.0,24.0
22,9,1.5,55.0,1.0,3.0,24.5
23,9,2.5,57.0,0.5,3.0,25.5
24,9,3.0,52.0,0.5,3.0,26.0
25,9,3.5,53.0,0.5,3.0,26.5
26,10,1.0,55.0,1.5,3.0,27.0
27,10,2.5,53.0,0.5,3.0,28.5
28,10,3.0,50.0,1.0,3.0,29.0
29,11,1.0,48.0,3.0,3.0,30.0
30,13,1.0,50.0,1.0,3.0,36.0
31,13,2.0,52.0,1.0,3.0,37.0
32,13,3.0,50.0,1.0,3.0,38.0
33,14,1.0,48.0,0.5,3.0,39.0
34,14,1.5,52.0,0.5,3.0,39.5
35,14,2.0,50.0,0.5,3.0,40.0
36,14,2.5,52.0,0.5,3.0,40.5
37,14,3.0,54.0,0.75,3.0,41.0
38,14,3.75,52.0,0.25,3.0,41.75
39,15,1.0,55.0,3.0,3.0,42.0
40,16,1.0,50.0,3.0,3.0,45.0
41,17,1.0,50.0,1.0,3.0,48.0
42,17,2.0,48.0,1.0,3.0,49.0
43,17,3.0,50.0,1.0,3.0,50.0
44,18,1.5,57.0,0.5,3.0,51.5
45,18,2.0,59.0,0.5,3.0,52.0
46,18,2.5,60.0,0.5,3.0,52.5
47,18,3.0,62.0,1.0,3.0,53.0
48,19,1.0,59.0,1.0,3.0,54.0
49,19,2.0,60.0,2.0,3.0,55.0
50,20,3.0,55.0,1.0,3.0,59.0
51,21,1.0,48.0,0.5,3.0,60.0
52,21,1.5,52.0,0.5,3.0,60.5
53,21,2.0,50.0,1.0,3.0,61.0
54,21,3.0,48.0,1.0,3.0,62.0
55,22,1.5,60.0,1.0,3.0,63.5
56,22,2.5,57.0,0.5,3.0,64.5
57,22,3.0,59.0,0.75,3.0,65.0
58,22,3.75,57.0,0.25,3.0,65.75
59,23,1.0,60.0,1.0,3.0,66.0
60,23,2.0,59.0,0.5,3.0,67.0
61,23,2.5,62.0,0.5,3.0,67.5
62,23,3.0,60.0,0.5,3.0,68.0
63,23,3.5,64.0,0.5,3.0,68.5
64,24,1.5,60.0,0.5,3.0,69.5
65,24,2.0,62.0,0.5,3.0,70.0
66,24,2.5,60.0,0.5,3.0,70.5
67,24,3.0,59.0,0.25,3.0,71.0
68,24,3.25,59.0,0.5,3.0,71.25
69,24,3.75,57.0,0.25,3.0,71.75
70,25,1.0,60.0,1.0,3.0,72.0
71,25,3.0,57.0,1.0,3.0,74.0
72,26,1.0,59.0,0.5,3.0,75.0
73,26,1.5,60.0,0.5,3.0,75.5
74,26,2.0,62.0,0.5,3.0,76.0
75,26,2.5,57.0,1.0,3.0,76.5
76,26,3.5,55.0,0.5,3.0,77.5
77,27,1.0,57.0,2.0,3.0,78.0
78,27,3.0,62.0,1.0,3.0,80.0
79,28,1.0,60.0,0.5,3.0,81.0
80,28,1.5,59.0,0.5,3.0,81.5
81,28,2.0,57.0,1.0,3.0,82.0
82,28,3.0,62.0,1.0,3.0,83.0
83,29,1.5,50.0,1.5,3.0,84.5
84,29,3.0,52.0,0.5,3.0,86.0
85,29,3.5,53.0,0.5,3.0,86.5
86,30,1.0,50.0,0.5,3.0,87.0
87,30,1.5,52.0,1.0,3.0,87.5
88,30,2.5,50.0,0.5,3.0,88.5
89,30,3.0,52.0,0.5,3.0,89.0
90,30,3.5,48.0,0.5,3.0,89.5
91,31,1.0,50.0,2.0,3.0,90.0
92,31,3.0,52.0,1.0,3.0,92.0
93,32,1.0,48.0,1.0,3.0,93.0
94,32,2.0,52.0,1.0,3.0,94.0
95,32,3.0,50.0,1.0,3.0,95.0
96,33,1.0,48.0,3.0,3.0,96.0
